総熱量, 肉類, 乳製品, 酒類,大腸がん
  2336,   40,     89,   38,    2.98
  2578,  168,    127,  128,    3.92
  2431,  205,    117,   42,    6.75
  1895,   98,    111,   41,    3.51
  2352,  178,    100,  192,   13.76
  2342,  140,     92,   44,    4.12
  3349,  672,    413,  121,   14.95
  2225,  175,    167,   61,    3.27
  2869,  187,    218,   56,    9.69
  1915,   99,     20,   19,    2.74
  2135,   88,     17,   11,    1.84
  3364,  486,    272,  194,   13.53
  3398,  443,    254,  192,   11.02
  3192,  291,    590,   70,    5.48
  3264,  485,    293,  211,   13.35
  3246,  311,    190,  142,   11.35
  3457,  490,    438,   95,   14.67
  3364,  486,    272,  194,   13.12
  3107,  285,    483,   49,    7.93
  2861,  179,     91,  228,    7.86
  2848,  192,    159,  202,    6.86
  3521,  447,    436,  227,   12.81
  3201,  161,    182,  104,    4.11
  3517,  753,    422,  128,   16.08
  3190,  575,    388,  109,   14.60
  2200,  120,    142,   23,    3.99
  1940,   79,    101,   37,    1.28
  1819,   55,     94,   26,    0.89
  2570,  144,     93,   68,    1.94
  2436,  151,    133,   12,    8.53
  2938,  720,    364,   91,   12.13
  2468,  291,     47,   25,    8.58
  2551,   55,     47,   75,    5.01
  2416,  146,    112,   19,    9.05
  3366,  487,    337,  218,   13.51
  3242,  229,    136,  100,    4.07
  3409,  474,    402,  131,   11.59
  3351,  450,    254,  317,   13.32
  2862,  166,    181,   77,    5.69
  3093,  459,    730,   60,    9.96
  3079,  208,    186,  262,   10.58
  3239,  406,    386,   72,   11.79
  3260,  327,    385,  131,    5.46
  2903,  189,    199,   74,    3.33
  3177,  416,    444,  118,   12.17
  3396,  529,    371,  144,   13.04
  3256,  683,    345,  146,   15.32
